"";"Transect";"Year"
"1";"Y81R1";1981
"2";"Y81R2";1981
"3";"Y81R3";1981
"4";"Y81R4";1981
"5";"Y81R5";1981
"6";"Y81R6";1981
"7";"Y81R7";1981
"8";"Y81R8";1981
"9";"Y81R9";1981
"10";"Y81R10";1981
"11";"Y83R1";1983
"12";"Y83R2";1983
"13";"Y83R3";1983
"14";"Y83R4";1983
"15";"Y83R5";1983
"16";"Y83R6";1983
"17";"Y83R7";1983
"18";"Y83R8";1983
"19";"Y83R9";1983
"20";"Y83R10";1983
"21";"Y84R1";1984
"22";"Y84R2";1984
"23";"Y84R3";1984
"24";"Y84R4";1984
"25";"Y84R5";1984
"26";"Y84R6";1984
"27";"Y84R7";1984
"28";"Y84R8";1984
"29";"Y84R9";1984
"30";"Y84R10";1984
"31";"Y85R1";1985
"32";"Y85R2";1985
"33";"Y85R3";1985
"34";"Y85R4";1985
"35";"Y85R5";1985
"36";"Y85R6";1985
"37";"Y85R7";1985
"38";"Y85R8";1985
"39";"Y85R9";1985
"40";"Y85R10";1985
"41";"Y87R1";1987
"42";"Y87R2";1987
"43";"Y87R3";1987
"44";"Y87R4";1987
"45";"Y87R5";1987
"46";"Y87R6";1987
"47";"Y87R7";1987
"48";"Y87R8";1987
"49";"Y87R9";1987
"50";"Y87R10";1987
"51";"Y88R1";1988
"52";"Y88R2";1988
"53";"Y88R3";1988
"54";"Y88R4";1988
"55";"Y88R5";1988
"56";"Y88R6";1988
"57";"Y88R7";1988
"58";"Y88R8";1988
"59";"Y88R9";1988
"60";"Y88R10";1988
